epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1224.8,1.79315,5.53179,2.14595,0.71687,0.56704,0.65141,0.32373,1.69275,3.34624,2.0363,0.000540037,0.000540037,0.000540037
43,1254.32,1.80451,5.50947,2.13522,0.72797,0.61874,0.71261,0.33171,1.70574,3.13087,2.12348,0.000531038,0.000531038,0.000531038
44,1284.84,1.77592,5.43143,2.11317,0.73771,0.61061,0.69783,0.34662,1.63338,3.18586,2.04061,0.000522039,0.000522039,0.000522039
45,1315.35,1.80917,5.53,2.14338,0.74259,0.61364,0.71265,0.36654,1.61176,2.93383,2.02371,0.00051304,0.00051304,0.00051304
46,1342.62,1.75527,5.39406,2.12848,0.69311,0.648,0.70956,0.37034,1.58752,3.05135,1.93859,0.00050404,0.00050404,0.00050404
47,1372.88,1.7864,5.47148,2.12114,0.66801,0.67191,0.7316,0.36617,1.4948,2.96614,1.88634,0.000495041,0.000495041,0.000495041
48,1402.87,1.80137,5.46163,2.13652,0.63178,0.66024,0.684,0.3302,1.59224,3.16454,1.96616,0.000486042,0.000486042,0.000486042
49,1431.36,1.78002,5.40859,2.12871,0.77707,0.57635,0.71481,0.33642,1.67019,3.07433,2.04353,0.000477043,0.000477043,0.000477043
50,1459.93,1.78332,5.52606,2.12009,0.73327,0.64177,0.71975,0.35777,1.6199,2.89897,2.02418,0.000468044,0.000468044,0.000468044
51,1491.6,1.75905,5.33956,2.10121,0.68413,0.63798,0.71657,0.36033,1.59365,3.3917,2.05762,0.000459045,0.000459045,0.000459045
52,1523.35,1.76671,5.36858,2.12045,0.74685,0.65524,0.75504,0.37087,1.53678,2.91058,1.92813,0.000450046,0.000450046,0.000450046
53,1553.59,1.74211,5.29471,2.09653,0.70655,0.63599,0.72764,0.37663,1.56613,2.89269,1.97092,0.000441047,0.000441047,0.000441047
54,1582.75,1.74781,5.28187,2.09692,0.81238,0.60362,0.73466,0.37033,1.53375,2.88153,1.91877,0.000432048,0.000432048,0.000432048
55,1613.3,1.77517,5.31177,2.1248,0.79098,0.68862,0.73978,0.40171,1.45258,2.81475,1.81819,0.000423049,0.000423049,0.000423049
56,1643.58,1.74795,5.25542,2.09369,0.76549,0.63191,0.73131,0.36027,1.51328,2.97541,1.89086,0.000414049,0.000414049,0.000414049
57,1671.31,1.75938,5.31141,2.10602,0.74232,0.68561,0.74426,0.35808,1.642,2.91775,2.02519,0.00040505,0.00040505,0.00040505
58,1700.76,1.76106,5.30226,2.10555,0.76023,0.69422,0.77112,0.36766,1.61981,2.95898,2.06161,0.000396051,0.000396051,0.000396051
59,1731.25,1.73231,5.1846,2.06642,0.73122,0.69417,0.76213,0.39174,1.55655,2.81929,1.95386,0.000387052,0.000387052,0.000387052
60,1761.06,1.73966,5.2205,2.08474,0.79462,0.68578,0.75787,0.39048,1.54695,2.76339,1.97238,0.000378053,0.000378053,0.000378053
61,1789,1.74461,5.2347,2.08679,0.76818,0.67596,0.74191,0.37245,1.61284,2.94795,2.03133,0.000369054,0.000369054,0.000369054
62,1819.62,1.74807,5.20187,2.07882,0.76111,0.64171,0.73887,0.41474,1.47206,2.75987,1.88677,0.000360055,0.000360055,0.000360055
63,1850.9,1.74552,5.23203,2.0878,0.78508,0.65421,0.7396,0.3823,1.57266,2.87036,2.06736,0.000351056,0.000351056,0.000351056
